"","ASR","category","type","rankings","iso","name"
"1635",11.1,"breast","mortality",136,"ZMB","Zambia"
"1636",11.1,"breast","mortality",136,"BHR","Bahrain"
"1637",4.8,"lung","mortality",136,"OMN","Oman"
"1638",3.1,"liver","mortality",136,"GIN","Guinea"
"1639",3.9,"stomach","incidence",136,"GUY","Guyana"
"1640",3.9,"stomach","incidence",136,"USA","United States of America"
"1641",3.9,"stomach","incidence",136,"BHR","Bahrain"
"1642",3.1,"stomach","mortality",136,"GIN","Guinea"
"1643",4.2,"colorectum","mortality",136,"NER","Niger"
"1644",4.2,"colorectum","mortality",136,"MNG","Mongolia"
"1645",4.2,"colorectum","mortality",136,"AFG","Afghanistan"
"1646",26.6,"breast","incidence",137,"MDG","Madagascar"
"1647",4.7,"lung","mortality",137,"SAU","Saudi Arabia"
"1648",4.7,"lung","mortality",137,"WSM","Samoa"
"1649",3.2,"liver","incidence",137,"DJI","Djibouti"
"1650",3.2,"liver","incidence",137,"ZMB","Zambia"
"1651",3.2,"liver","incidence",137,"GNQ","Equatorial Guinea"
"1652",3.2,"liver","incidence",137,"LKA","Sri Lanka"
"1653",3.2,"liver","incidence",137,"TUR","Turkey"
"1654",3.2,"liver","incidence",137,"GBR","United Kingdom of Great Britain and Northern Ireland"
"1655",3,"liver","mortality",137,"ETH","Ethiopia"
"1656",3,"liver","mortality",137,"LBY","Libya"
"1657",3,"liver","mortality",137,"LUX","Luxembourg"
"1658",3,"stomach","mortality",137,"ETH","Ethiopia"
"1659",3,"stomach","mortality",137,"LBY","Libya"
"1660",3,"stomach","mortality",137,"LUX","Luxembourg"
"1661",26,"breast","incidence",138,"GNB","Guinea Bissau"
"1662",26,"breast","incidence",138,"OMN","Oman"
"1663",11,"breast","mortality",138,"THA","Thailand"
"1664",11,"breast","mortality",138,"BGD","Bangladesh"
"1665",4.9,"lung","incidence",138,"ZWE","Zimbabwe"
"1666",4.9,"lung","incidence",138,"BRB","Barbados"
"1667",5.8,"colorectum","incidence",138,"MDV","Maldives"
"1668",4.6,"lung","mortality",139,"BOL","Bolivia (Plurinational State of)"
"1669",3.8,"stomach","incidence",139,"AGO","Angola"
"1670",3.8,"stomach","incidence",139,"SLE","Sierra Leone"
"1671",3.8,"stomach","incidence",139,"PHL","Philippines"
"1672",5.6,"colorectum","incidence",139,"COG","Congo"
"1673",5.6,"colorectum","incidence",139,"EGY","Egypt"
"1674",4.1,"colorectum","mortality",139,"COG","Congo"
