"","ASR","category","type","rankings","iso","name"
"1963",3.9,"colorectum","incidence",164,"SEN","Senegal"
"1964",20.4,"breast","incidence",165,"TJK","Tajikistan"
"1965",8.6,"breast","mortality",165,"AZE","Azerbaijan"
"1966",1.5,"lung","mortality",165,"BDI","Burundi"
"1967",1.5,"lung","mortality",165,"CIV","Côte D'Ivoire"
"1968",2.3,"liver","incidence",165,"GAB","Gabon"
"1969",2.3,"liver","incidence",165,"ISR","Israel"
"1970",2.3,"liver","incidence",165,"EST","Estonia"
"1971",2.3,"liver","incidence",165,"MLT","Malta"
"1972",3.8,"colorectum","incidence",165,"TGO","Togo"
"1973",19.9,"breast","incidence",166,"BWA","Botswana"
"1974",19.9,"breast","incidence",166,"HND","Honduras"
"1975",8.5,"breast","mortality",166,"PER","Peru"
"1976",1.6,"lung","incidence",166,"GNB","Guinea Bissau"
"1977",3.7,"colorectum","incidence",166,"LKA","Sri Lanka"
"1978",2.9,"colorectum","mortality",166,"GHA","Ghana"
"1979",2.9,"colorectum","mortality",166,"GNB","Guinea Bissau"
"1980",2.9,"colorectum","mortality",166,"MRT","Mauritania"
"1981",2.9,"colorectum","mortality",166,"GTM","Guatemala"
"1982",8.4,"breast","mortality",167,"LBY","Libya"
"1983",1.5,"lung","incidence",167,"CMR","Cameroon"
"1984",1.5,"lung","incidence",167,"CAF","Central African Republic"
"1985",1.5,"lung","incidence",167,"BEN","Benin"
"1986",1.5,"lung","incidence",167,"LBR","Liberia"
"1987",1.5,"lung","incidence",167,"SLE","Sierra Leone"
"1988",1.4,"lung","mortality",167,"CAF","Central African Republic"
"1989",1.4,"lung","mortality",167,"BEN","Benin"
"1990",1.4,"lung","mortality",167,"LBR","Liberia"
"1991",1.4,"lung","mortality",167,"SLE","Sierra Leone"
"1992",0.5,"thyroid","incidence",167,"GAB","Gabon"
"1993",0.5,"thyroid","incidence",167,"NGA","Nigeria"
"1994",0.5,"thyroid","incidence",167,"KAZ","Kazakhstan"
"1995",0.5,"thyroid","incidence",167,"ARM","Armenia"
"1996",3.6,"colorectum","incidence",167,"MRT","Mauritania"
"1997",3.6,"colorectum","incidence",167,"BGD","Bangladesh"
"1998",19.4,"breast","incidence",168,"TZA","United Republic of Tanzania"
"1999",8.1,"breast","mortality",168,"RWA","Rwanda"
"2000",2.2,"liver","mortality",168,"CMR","Cameroon"
"2001",2.2,"liver","mortality",168,"GAB","Gabon"
"2002",2.2,"liver","mortality",168,"LAO","Lao People's Democratic Republic"
"2003",0.1,"thyroid","mortality",168,"HTI","Haiti"
"2004",0.1,"thyroid","mortality",168,"PRI","Puerto Rico"
"2005",0.1,"thyroid","mortality",168,"TJK","Tajikistan"
"2006",0.1,"thyroid","mortality",168,"UZB","Uzbekistan"
"2007",0.1,"thyroid","mortality",168,"ARM","Armenia"
"2008",0.1,"thyroid","mortality",168,"MLT","Malta"
"2009",0.1,"thyroid","mortality",168,"LUX","Luxembourg"
"2010",2.3,"stomach","incidence",168,"CAF","Central African Republic"
"2011",2.3,"stomach","incidence",168,"GNQ","Equatorial Guinea"
"2012",2.3,"stomach","incidence",168,"LAO","Lao People's Democratic Republic"
"2013",2.3,"stomach","incidence",168,"TLS","Timor-Leste"
"2014",2.2,"stomach","mortality",168,"CMR","Cameroon"
"2015",2.2,"stomach","mortality",168,"GAB","Gabon"
"2016",2.2,"stomach","mortality",168,"LAO","Lao People's Democratic Republic"
"2017",19.3,"breast","incidence",169,"KHM","Cambodia"
"2018",8,"breast","mortality",169,"HND","Honduras"
"2019",2.1,"liver","incidence",169,"TZA","United Republic of Tanzania"
"2020",2.1,"liver","incidence",169,"BRB","Barbados"
"2021",2.1,"liver","incidence",169,"BLR","Belarus"
"2022",2.1,"liver","incidence",169,"UKR","Ukraine"
"2023",2.1,"liver","incidence",169,"NOR","Norway"
"2024",3.5,"colorectum","incidence",169,"BWA","Botswana"
"2025",3.5,"colorectum","incidence",169,"CPV","Cabo Verde"
"2026",3.5,"colorectum","incidence",169,"GNB","Guinea Bissau"
"2027",3.5,"colorectum","incidence",169,"BTN","Bhutan"
"2028",19.2,"breast","incidence",170,"BOL","Bolivia (Plurinational State of)"
"2029",7.9,"breast","mortality",170,"MOZ","Mozambique"
"2030",7.9,"breast","mortality",170,"BWA","Botswana"
"2031",7.9,"breast","mortality",170,"GIN","Guinea"
"2032",2.8,"colorectum","mortality",170,"SLE","Sierra Leone"
"2033",19,"breast","incidence",171,"LAO","Lao People's Democratic Republic"
"2034",1.3,"lung","mortality",171,"CMR","Cameroon"
"2035",1.3,"lung","mortality",171,"GIN","Guinea"
"2036",1.3,"lung","mortality",171,"MRT","Mauritania"
"2037",1.3,"lung","mortality",171,"TGO","Togo"
"2038",2,"liver","mortality",171,"TCD","Chad"
"2039",2,"liver","mortality",171,"USA","United States of America"
"2040",2,"liver","mortality",171,"SLB","Solomon Islands"
"2041",0.4,"thyroid","incidence",171,"LSO","Lesotho"
"2042",0.4,"thyroid","incidence",171,"LBR","Liberia"
"2043",2,"stomach","mortality",171,"TCD","Chad"
"2044",2,"stomach","mortality",171,"USA","United States of America"
"2045",2,"stomach","mortality",171,"SLB","Solomon Islands"
"2046",2.7,"colorectum","mortality",171,"COM","Comoros"
"2047",2.7,"colorectum","mortality",171,"MWI","Malawi"
"2048",2.7,"colorectum","mortality",171,"LBR","Liberia"
"2049",2.7,"colorectum","mortality",171,"BGD","Bangladesh"
"2050",17.4,"breast","incidence",172,"COM","Comoros"
"2051",1.4,"lung","incidence",172,"GIN","Guinea"
"2052",1.4,"lung","incidence",172,"MRT","Mauritania"
"2053",1.4,"lung","incidence",172,"TGO","Togo"
"2054",2.1,"stomach","incidence",172,"SWZ","Swaziland"
"2055",16.8,"breast","incidence",173,"MWI","Malawi"
"2056",7.2,"breast","mortality",173,"BOL","Bolivia (Plurinational State of)"
"2057",7.2,"breast","mortality",173,"NPL","Nepal"
"2058",0.3,"thyroid","incidence",173,"CIV","Côte D'Ivoire"
"2059",2,"stomach","incidence",173,"TCD","Chad"
"2060",2,"stomach","incidence",173,"NGA","Nigeria"
"2061",2,"stomach","incidence",173,"SLB","Solomon Islands"
"2062",3.4,"colorectum","incidence",173,"MWI","Malawi"
"2063",3.4,"colorectum","incidence",173,"SLE","Sierra Leone"
"2064",16.1,"breast","incidence",174,"GAB","Gabon"
"2065",2,"liver","incidence",174,"ETH","Ethiopia"
"2066",1.9,"liver","mortality",174,"NGA","Nigeria"
"2067",0.2,"thyroid","incidence",174,"HTI","Haiti"
"2068",0.2,"thyroid","incidence",174,"UZB","Uzbekistan"
"2069",1.9,"stomach","mortality",174,"NGA","Nigeria"
"2070",15.9,"breast","incidence",175,"RWA","Rwanda"
"2071",6.2,"breast","mortality",175,"WSM","Samoa"
"2072",1.2,"lung","incidence",175,"COM","Comoros"
"2073",1.2,"lung","incidence",175,"RWA","Rwanda"
"2074",1.2,"lung","incidence",175,"TCD","Chad"
"2075",1.2,"lung","mortality",175,"COM","Comoros"
"2076",1.9,"liver","incidence",175,"BHS","Bahamas"
"2077",1.8,"liver","mortality",175,"SDN","Sudan"
"2078",1.8,"liver","mortality",175,"NER","Niger"
"2079",1.8,"stomach","mortality",175,"SDN","Sudan"
"2080",1.8,"stomach","mortality",175,"NER","Niger"
"2081",3.3,"colorectum","incidence",175,"CMR","Cameroon"
"2082",2.5,"colorectum","mortality",175,"BWA","Botswana"
"2083",2.5,"colorectum","mortality",175,"NPL","Nepal"
"2084",14.5,"breast","incidence",176,"MOZ","Mozambique"
"2085",14.5,"breast","incidence",176,"GIN","Guinea"
"2086",6.1,"breast","mortality",176,"KOR","Republic of Korea"
"2087",1.1,"lung","mortality",176,"RWA","Rwanda"
"2088",1.1,"lung","mortality",176,"TCD","Chad"
"2089",1.8,"liver","incidence",176,"MWI","Malawi"
"2090",0.1,"thyroid","incidence",176,"GNQ","Equatorial Guinea"
"2091",0.1,"thyroid","incidence",176,"CPV","Cabo Verde"
"2092",0.1,"thyroid","incidence",176,"TJK","Tajikistan"
"2093",0.1,"thyroid","incidence",176,"TKM","Turkmenistan"
"2094",0,"thyroid","mortality",176,"COM","Comoros"
"2095",0,"thyroid","mortality",176,"GNQ","Equatorial Guinea"
"2096",0,"thyroid","mortality",176,"CPV","Cabo Verde"
"2097",0,"thyroid","mortality",176,"BHS","Bahamas"
"2098",0,"thyroid","mortality",176,"GUF","French Guiana"
"2099",0,"thyroid","mortality",176,"BRN","Brunei Darussalam"
"2100",0,"thyroid","mortality",176,"TKM","Turkmenistan"
"2101",0,"thyroid","mortality",176,"WSM","Samoa"
"2102",1.9,"stomach","incidence",176,"NER","Niger"
"2103",3.2,"colorectum","incidence",176,"LBR","Liberia"
"2104",3.2,"colorectum","incidence",176,"NPL","Nepal"
"2105",5.8,"breast","mortality",177,"GAB","Gabon"
"2106",1.7,"liver","incidence",177,"NAM","Namibia"
"2107",1.7,"liver","incidence",177,"URY","Uruguay"
"2108",1.7,"liver","incidence",177,"ISL","Iceland"
"2109",1.7,"liver","mortality",177,"GMB","Gambia (Islamic Republic of the)"
"2110",1.8,"stomach","incidence",177,"SDN","Sudan"
"2111",1.7,"stomach","mortality",177,"GMB","Gambia (Islamic Republic of the)"
"2112",2.4,"colorectum","mortality",177,"CMR","Cameroon"
"2113",13.7,"breast","incidence",178,"NPL","Nepal"
"2114",5.4,"breast","mortality",178,"CHN","China"
"2115",1.1,"lung","incidence",178,"COG","Congo"
"2116",1.1,"lung","incidence",178,"NGA","Nigeria"
"2117",1,"lung","mortality",178,"COG","Congo"
"2118",1.6,"liver","mortality",178,"KWT","Kuwait"
"2119",1.6,"liver","mortality",178,"GUM","Guam"
"2120",1.7,"stomach","incidence",178,"GMB","Gambia (Islamic Republic of the)"
"2121",1.6,"stomach","mortality",178,"KWT","Kuwait"
"2122",1.6,"stomach","mortality",178,"GUM","Guam"
"2123",2.7,"colorectum","incidence",178,"COM","Comoros"
"2124",2.2,"colorectum","mortality",178,"LKA","Sri Lanka"
"2125",11.9,"breast","incidence",179,"GTM","Guatemala"
"2126",5,"breast","mortality",179,"SWZ","Swaziland"
"2127",5,"breast","mortality",179,"GMB","Gambia (Islamic Republic of the)"
"2128",5,"breast","mortality",179,"GTM","Guatemala"
"2129",0.9,"lung","mortality",179,"COD","Democratic Republic of the Congo"
"2130",0.9,"lung","mortality",179,"NGA","Nigeria"
"2131",1.6,"stomach","incidence",179,"NAM","Namibia"
"2132",1.6,"stomach","incidence",179,"GUM","Guam"
"2133",2.5,"colorectum","incidence",179,"BFA","Burkina Faso"
"2134",2.1,"colorectum","mortality",179,"SWZ","Swaziland"
"2135",2.1,"colorectum","mortality",179,"BFA","Burkina Faso"
"2136",10.5,"breast","incidence",180,"SWZ","Swaziland"
"2137",1,"lung","incidence",180,"COD","Democratic Republic of the Congo"
"2138",1.6,"liver","incidence",180,"NLD","Netherlands"
"2139",1.5,"liver","mortality",180,"NAM","Namibia"
"2140",0,"thyroid","incidence",180,"COM","Comoros"
"2141",0,"thyroid","incidence",180,"BHS","Bahamas"
"2142",0,"thyroid","incidence",180,"GUF","French Guiana"
"2143",0,"thyroid","incidence",180,"WSM","Samoa"
"2144",1.5,"stomach","mortality",180,"NAM","Namibia"
"2145",2.3,"colorectum","incidence",180,"SWZ","Swaziland"
"2146",9.8,"breast","incidence",181,"GMB","Gambia (Islamic Republic of the)"
"2147",0.9,"lung","incidence",181,"MWI","Malawi"
"2148",0.8,"lung","mortality",181,"MWI","Malawi"
"2149",0.8,"lung","mortality",181,"CPV","Cabo Verde"
"2150",1.5,"liver","incidence",181,"DZA","Algeria"
"2151",1.1,"liver","mortality",181,"COM","Comoros"
"2152",1.1,"liver","mortality",181,"LSO","Lesotho"
"2153",1.1,"stomach","incidence",181,"COM","Comoros"
"2154",1.1,"stomach","incidence",181,"LSO","Lesotho"
"2155",1.1,"stomach","mortality",181,"COM","Comoros"
"2156",1.1,"stomach","mortality",181,"LSO","Lesotho"
"2157",2,"colorectum","incidence",181,"LSO","Lesotho"
"2158",1.8,"colorectum","mortality",181,"LSO","Lesotho"
"2159",9.4,"breast","incidence",182,"MNG","Mongolia"
"2160",4.4,"breast","mortality",182,"LSO","Lesotho"
"2161",0.8,"lung","incidence",182,"CPV","Cabo Verde"
"2162",1.2,"liver","incidence",182,"MAR","Morocco"
"2163",1.8,"colorectum","incidence",182,"GIN","Guinea"
"2164",1.4,"colorectum","mortality",182,"GIN","Guinea"
"2165",9,"breast","incidence",183,"LSO","Lesotho"
"2166",4.2,"breast","mortality",183,"MNG","Mongolia"
"2167",0.7,"lung","incidence",183,"TZA","United Republic of Tanzania"
"2168",0.6,"lung","mortality",183,"TZA","United Republic of Tanzania"
"2169",1.1,"liver","incidence",183,"TUN","Tunisia"
"2170",0.9,"liver","mortality",183,"BWA","Botswana"
"2171",0.9,"stomach","incidence",183,"MOZ","Mozambique"
"2172",0.9,"stomach","incidence",183,"BWA","Botswana"
"2173",0.9,"stomach","mortality",183,"BWA","Botswana"
"2174",1.3,"colorectum","incidence",183,"GMB","Gambia (Islamic Republic of the)"
"2175",1.2,"colorectum","mortality",183,"GMB","Gambia (Islamic Republic of the)"
"2176",4.6,"breast","incidence",184,"BTN","Bhutan"
"2177",1.8,"breast","mortality",184,"BTN","Bhutan"
"2178",0.2,"lung","incidence",184,"NER","Niger"
"2179",0.2,"lung","mortality",184,"NER","Niger"
"2180",0.9,"liver","incidence",184,"NPL","Nepal"
"2181",0.8,"liver","mortality",184,"MOZ","Mozambique"
"2182",0.8,"stomach","mortality",184,"MOZ","Mozambique"
"2183",1.2,"colorectum","incidence",184,"MOZ","Mozambique"
"2184",0.9,"colorectum","mortality",184,"MOZ","Mozambique"
