"","category","location","years","value"
"157","민어","경기도",1970,185
"158","민어","충청남도",1970,209
"159","민어","전라북도",1970,16
"160","민어","전라남도",1970,609
"161","민어","경상남도",1970,130
"162","민어","제주도",1970,63
"163","방어류","부산광역시",1970,123
"164","방어류","경기도",1970,28
"165","방어류","강원도",1970,314
"166","방어류","충청남도",1970,0
"167","방어류","전라북도",1970,0
"168","방어류","전라남도",1970,20
"169","방어류","경상북도",1970,1015
"170","방어류","경상남도",1970,116
"171","방어류","제주도",1970,102
"172","뱅어류","부산광역시",1970,0
"173","뱅어류","경기도",1970,22
"174","뱅어류","충청남도",1970,632
"175","뱅어류","전라남도",1970,1
"176","뱅어류","경상남도",1970,122
"177","병어류","부산광역시",1970,619
"178","병어류","경기도",1970,1462
"179","병어류","충청남도",1970,242
"180","병어류","전라북도",1970,1142.5
"181","병어류","전라남도",1970,1130
"182","병어류","경상북도",1970,0
"183","병어류","경상남도",1970,131
"184","보리멸","충청남도",1970,0
"185","보리멸","전라북도",1970,0
"186","보리멸","전라남도",1970,0
"187","보리멸","경상남도",1970,0
"188","복어류","부산광역시",1970,372
"189","복어류","경기도",1970,338
"190","복어류","강원도",1970,20
"191","복어류","충청남도",1970,198
"192","복어류","전라북도",1970,277
"193","복어류","전라남도",1970,356
"194","복어류","경상북도",1970,8
"195","복어류","경상남도",1970,2526
"196","복어류","제주도",1970,1
"197","기타볼락류","부산광역시",1970,9
"198","기타볼락류","경기도",1970,41
"199","기타볼락류","강원도",1970,241
"200","기타볼락류","충청남도",1970,85
"201","기타볼락류","전라북도",1970,0
"202","기타볼락류","전라남도",1970,362
"203","기타볼락류","경상북도",1970,5
"204","기타볼락류","경상남도",1970,802
"205","기타볼락류","제주도",1970,3
"206","삼치류","부산광역시",1970,733
"207","삼치류","경기도",1970,125
"208","삼치류","강원도",1970,136
"209","삼치류","충청남도",1970,587
"210","삼치류","전라북도",1970,829
"211","삼치류","전라남도",1970,1934
"212","삼치류","경상북도",1970,53
"213","삼치류","경상남도",1970,517
"214","삼치류","제주도",1970,362
"215","상어류","부산광역시",1970,6310
"216","상어류","경기도",1970,8
"217","상어류","강원도",1970,6
"218","상어류","충청남도",1970,304
"219","상어류","전라북도",1970,43
"220","상어류","전라남도",1970,463
"221","상어류","경상북도",1970,154
"222","상어류","경상남도",1970,1248
"223","상어류","제주도",1970,44
"224","서대류","부산광역시",1970,616
"225","서대류","경기도",1970,119
"226","서대류","충청남도",1970,396
"227","서대류","전라북도",1970,68
"228","서대류","전라남도",1970,721
"229","서대류","경상남도",1970,648
"230","성대류","부산광역시",1970,236
"231","성대류","경기도",1970,0
"232","성대류","충청남도",1970,2
"233","성대류","전라북도",1970,0
"234","성대류","전라남도",1970,0
"235","성대류","경상남도",1970,35
"236","송어류","부산광역시",1970,5
"237","송어류","강원도",1970,29
"238","송어류","충청남도",1970,0
"239","송어류","전라북도",1970,0
"240","송어류","전라남도",1970,37
"241","송어류","경상북도",1970,12
"242","숭어류","부산광역시",1970,251
"243","숭어류","경기도",1970,78
"244","숭어류","강원도",1970,3
"245","숭어류","충청남도",1970,702
"246","숭어류","전라북도",1970,31
"247","숭어류","전라남도",1970,837
"248","숭어류","경상북도",1970,0
"249","숭어류","경상남도",1970,838
"250","숭어류","제주도",1970,2
"251","양미리","부산광역시",1970,0
"252","양미리","경기도",1970,290
"253","양미리","강원도",1970,1347
"254","양미리","충청남도",1970,44
"255","양미리","전라북도",1970,0
"256","양미리","전라남도",1970,0
"257","양미리","경상북도",1970,58
"258","양미리","경상남도",1970,5299
"259","양태류","부산광역시",1970,119
"260","양태류","경기도",1970,0
"261","양태류","충청남도",1970,14
"262","양태류","전라북도",1970,34
"263","양태류","전라남도",1970,709
"264","양태류","경상남도",1970,746
"265","임연수어","강원도",1970,0
"266","임연수어","전라북도",1970,0
"267","임연수어","전라남도",1970,0
"268","임연수어","경상북도",1970,0
"269","갯장어","부산광역시",1970,0
"270","갯장어","경기도",1970,241
"271","갯장어","충청남도",1970,10
"272","갯장어","전라북도",1970,17
"273","갯장어","전라남도",1970,1131
"274","갯장어","경상북도",1970,0
"275","갯장어","경상남도",1970,1333
"276","붕장어","부산광역시",1970,1857
"277","붕장어","경기도",1970,0
"278","붕장어","충청남도",1970,54
"279","붕장어","전라북도",1970,0
"280","붕장어","전라남도",1970,922
"281","붕장어","경상북도",1970,40
"282","붕장어","경상남도",1970,2579
"283","붕장어","제주도",1970,0
"284","전갱이류","부산광역시",1970,677
"285","전갱이류","경기도",1970,1
"286","전갱이류","충청남도",1970,0
"287","전갱이류","전라북도",1970,1
"288","전갱이류","전라남도",1970,10
"289","전갱이류","경상북도",1970,21
"290","전갱이류","경상남도",1970,109
"291","전갱이류","제주도",1970,64
"292","전어","부산광역시",1970,398
"293","전어","경기도",1970,162
"294","전어","강원도",1970,5
"295","전어","충청남도",1970,29
"296","전어","전라북도",1970,107
"297","전어","전라남도",1970,2466
"298","전어","경상북도",1970,14
"299","전어","경상남도",1970,4680
"300","정어리","부산광역시",1970,0
"301","정어리","강원도",1970,0
"302","정어리","전라남도",1970,90
"303","정어리","경상북도",1970,1
"304","정어리","경상남도",1970,10
"305","참조기","부산광역시",1970,6299
"306","참조기","경기도",1970,6714
"307","참조기","충청남도",1970,801
"308","참조기","전라북도",1970,4010.5
"309","참조기","전라남도",1970,9524
"310","참조기","경상남도",1970,4180
"311","참조기","제주도",1970,236
"312","기타조기류","부산광역시",1970,14800
"313","기타조기류","경기도",1970,2260
"314","기타조기류","충청남도",1970,920
"315","기타조기류","전라북도",1970,112
"316","기타조기류","전라남도",1970,1371
"317","기타조기류","경상남도",1970,3890
"318","기타조기류","제주도",1970,55
"319","준치","부산광역시",1970,454
"320","준치","경기도",1970,374
"321","준치","충청남도",1970,318
"322","준치","전라북도",1970,428.2
"323","준치","전라남도",1970,1728
"324","준치","경상북도",1970,0
"325","준치","경상남도",1970,130
"326","준치","제주도",1970,47
"327","쥐치류","부산광역시",1970,0
"328","쥐치류","경기도",1970,0
"329","쥐치류","강원도",1970,0
"330","쥐치류","충청남도",1970,0
"331","쥐치류","전라북도",1970,0
"332","쥐치류","전라남도",1970,0
"333","쥐치류","경상북도",1970,0
"334","쥐치류","경상남도",1970,0
"335","쥐치류","제주도",1970,0
"336","청어","부산광역시",1970,341
"337","청어","경기도",1970,389
"338","청어","강원도",1970,7
"339","청어","전라북도",1970,0
"340","청어","전라남도",1970,3
"341","청어","경상북도",1970,6
"342","청어","경상남도",1970,0
"343","기타어류","부산광역시",1970,19536
"344","기타어류","경기도",1970,26989
"345","기타어류","강원도",1970,3892
"346","기타어류","충청남도",1970,4112
"347","기타어류","전라북도",1970,9628
"348","기타어류","전라남도",1970,22631
"349","기타어류","경상북도",1970,6016
"350","기타어류","경상남도",1970,31629
"351","기타어류","제주도",1970,515
"352","꽃게","부산광역시",1970,0
"353","꽃게","경기도",1970,652
"354","꽃게","충청남도",1970,1858
"355","꽃게","전라북도",1970,57
"356","꽃게","전라남도",1970,84
"357","꽃게","경상남도",1970,49
"358","대게","부산광역시",1970,0
"359","대게","경기도",1970,0
"360","대게","강원도",1970,0
"361","대게","전라북도",1970,0
"362","대게","전라남도",1970,113
"363","대게","경상북도",1970,72
"364","대게","경상남도",1970,62
"365","기타게류","부산광역시",1970,1229
"366","기타게류","경기도",1970,58
"367","기타게류","강원도",1970,48
"368","기타게류","충청남도",1970,303
"369","기타게류","전라북도",1970,43
"370","기타게류","전라남도",1970,235
"371","기타게류","경상북도",1970,154
"372","기타게류","경상남도",1970,334
"373","대하","부산광역시",1970,0
"374","대하","경기도",1970,53
"375","대하","충청남도",1970,174
"376","대하","전라북도",1970,106
"377","대하","전라남도",1970,114
"378","대하","경상북도",1970,4
"379","대하","경상남도",1970,6
"380","보리새우","부산광역시",1970,0
"381","보리새우","충청남도",1970,4
"382","보리새우","전라북도",1970,0
"383","보리새우","전라남도",1970,87
"384","보리새우","경상남도",1970,4
"385","젓새우류","경기도",1970,5896
"386","젓새우류","충청남도",1970,572
"387","젓새우류","전라북도",1970,0
"388","젓새우류","전라남도",1970,41
"389","젓새우류","경상북도",1970,0
"390","젓새우류","경상남도",1970,0
"391","중하","부산광역시",1970,38
"392","중하","경기도",1970,2
"393","중하","강원도",1970,43
"394","중하","충청남도",1970,45
"395","중하","전라북도",1970,12
"396","중하","전라남도",1970,307
"397","중하","경상북도",1970,22
"398","중하","경상남도",1970,137
"399","기타새우류","부산광역시",1970,21
"400","기타새우류","경기도",1970,703
"401","기타새우류","강원도",1970,70
"402","기타새우류","충청남도",1970,623
"403","기타새우류","전라북도",1970,8
"404","기타새우류","전라남도",1970,582
"405","기타새우류","경상북도",1970,432
"406","기타새우류","경상남도",1970,582
"407","기타새우류","제주도",1970,9
"408","기타갑각류","부산광역시",1970,0
"409","기타갑각류","경기도",1970,52
"410","기타갑각류","강원도",1970,0
"411","기타갑각류","충청남도",1970,14
"412","기타갑각류","전라북도",1970,2
"413","기타갑각류","전라남도",1970,15
"414","기타갑각류","경상북도",1970,0
"415","기타갑각류","경상남도",1970,223
"416","골뱅이","강원도",1970,0
"417","골뱅이","충청남도",1970,0
"418","골뱅이","전라북도",1970,0
"419","골뱅이","경상북도",1970,0
"420","골뱅이","경상남도",1970,0
"421","굴류","부산광역시",1970,515
"422","굴류","경기도",1970,481
"423","굴류","충청남도",1970,656
"424","굴류","전라북도",1970,4
"425","굴류","전라남도",1970,1688
"426","굴류","경상북도",1970,0
"427","굴류","경상남도",1970,2274
"428","소라고둥","부산광역시",1970,8
"429","소라고둥","경기도",1970,126
"430","소라고둥","강원도",1970,0
"431","소라고둥","충청남도",1970,277
"432","소라고둥","전라북도",1970,8
"433","소라고둥","전라남도",1970,282
"434","소라고둥","경상북도",1970,38
"435","소라고둥","경상남도",1970,257
"436","소라고둥","제주도",1970,1591
"437","전복류","부산광역시",1970,7
"438","전복류","경기도",1970,18
"439","전복류","강원도",1970,1
"440","전복류","충청남도",1970,13
"441","전복류","전라북도",1970,0
"442","전복류","전라남도",1970,96
"443","전복류","경상북도",1970,33
"444","전복류","경상남도",1970,77
"445","전복류","제주도",1970,128
"446","가리비류","전라남도",1970,0
"447","가리비류","경상남도",1970,0
"448","가무락","경기도",1970,0
"449","가무락","충청남도",1970,0
"450","가무락","전라북도",1970,0
"451","가무락","전라남도",1970,0
"452","가무락","경상남도",1970,0
"453","개량조개류","경기도",1970,0
"454","개량조개류","충청남도",1970,0
"455","개량조개류","전라북도",1970,0
"456","개량조개류","전라남도",1970,0
"457","개량조개류","경상남도",1970,0
"458","꼬막","부산광역시",1970,19
"459","꼬막","경기도",1970,1
"460","꼬막","강원도",1970,0
"461","꼬막","충청남도",1970,104
"462","꼬막","전라북도",1970,46
"463","꼬막","전라남도",1970,2628
"464","꼬막","경상남도",1970,1100
"465","맛류","경기도",1970,0
"466","맛류","충청남도",1970,0
"467","맛류","전라북도",1970,0
"468","맛류","전라남도",1970,0
"469","맛류","경상남도",1970,0
"470","바지락","부산광역시",1970,0
"471","바지락","경기도",1970,282
"472","바지락","충청남도",1970,1546
"473","바지락","전라북도",1970,62
"474","바지락","전라남도",1970,2452
"475","바지락","경상남도",1970,624
"476","바지락","제주도",1970,0
"477","백합류","경기도",1970,157
"478","백합류","충청남도",1970,162
"479","백합류","전라북도",1970,1496
"480","백합류","전라남도",1970,448
"481","백합류","경상북도",1970,0
"482","백합류","경상남도",1970,199
"483","새조개","전라남도",1970,0
"484","새조개","경상남도",1970,0
"485","키조개","부산광역시",1970,38
"486","키조개","경기도",1970,0
"487","키조개","충청남도",1970,0
"488","키조개","전라북도",1970,15
"489","키조개","전라남도",1970,273
"490","키조개","경상북도",1970,0
"491","키조개","경상남도",1970,37
"492","피조개","부산광역시",1970,77
"493","피조개","경기도",1970,0
"494","피조개","충청남도",1970,10
"495","피조개","전라북도",1970,0
"496","피조개","전라남도",1970,41
"497","피조개","경상북도",1970,0
"498","피조개","경상남도",1970,348
"499","홍합류","부산광역시",1970,546
"500","홍합류","경기도",1970,63
"501","홍합류","충청남도",1970,78
"502","홍합류","전라남도",1970,354
"503","홍합류","경상북도",1970,2
"504","홍합류","경상남도",1970,2848
"505","홍합류","제주도",1970,0
"506","기타패류","부산광역시",1970,0
"507","기타패류","경기도",1970,0
"508","기타패류","강원도",1970,0
"509","기타패류","충청남도",1970,0
"510","기타패류","전라북도",1970,0
"511","기타패류","전라남도",1970,0
"512","기타패류","경상북도",1970,0
"513","기타패류","경상남도",1970,0
"514","기타패류","제주도",1970,0
"515","갑오징어류","부산광역시",1970,862
"516","갑오징어류","경기도",1970,188
"517","갑오징어류","강원도",1970,273
"518","갑오징어류","충청남도",1970,127
"519","갑오징어류","전라북도",1970,443.4
"520","갑오징어류","전라남도",1970,426
"521","갑오징어류","경상북도",1970,159
"522","갑오징어류","경상남도",1970,599
"523","문어류","부산광역시",1970,101
"524","문어류","경기도",1970,0
"525","문어류","강원도",1970,78
"526","문어류","전라남도",1970,111
"527","문어류","경상북도",1970,49
"528","문어류","경상남도",1970,164
"529","문어류","제주도",1970,0
